Objeto ID,Área (pixels),Perímetro (pixels),"Centroide (X, Y)",Momento de Hu (h1)
1,78893.0,2604.18,"(129.9, 285.9)",2.334645e-01
2,3115.0,1224.72,"(276.8, 406.8)",1.643203e+00
